Код,RegionName,ВёскаЗапісу,Широта,Долгота
1137,Минская,Новоселки,53.51817,28.09705
1138,Гродненская,Лаша,53.4761,23.9761
1141,Могилевская,Быхов,53.526111,30.235833
1142,Брестская,Андроново, 52.2432,24.2992
1143,Брестская,Лисятичи,52.23634,25.95624
1144,Брестская,Лопатин, 52.0190,26.3294
1145,Гомельская,Дорошевичи,52.11682,28.21465
1147,Брестская,Муховец,52.033333,23.8
1148,Витебская,Шумилино,55.2959,29.6125
1149,Витебская,Копысь,54.3214,30.2919
1150,Гомельская,Старые Юрковичи,51.7166,30.3713
1151,Витебская,Заезвіна,55.09432,29.19307
1152,Минская,Лебедзева,54.31243,26.70888
1153,Гомельская,Хваенск,52.04982,27.92777
1154,Гомельская,Перароўскі Млынок,52.0516,28.0535
1155,Гомельская,Азяраны,52.0364,27.8505
1191,Витебская,Ситно,54.81791,30.65558
1192,Витебская,Сялішча,55.21395,30.83451
1193,Гродненская,Любанічы,53.48509,26.15093
1194,Гомельская,Красноўка,51.4552,29.3541
1195,Минская,Гольчычы,53.14124,27.65808
1196,Минская,Бытча,54.3076,28.4058
1197,Могилевская,Галоўчын,54.0579,29.9184
1206,Брестская,Лелікава,51.9187,24.7154
1207,Брестская,Рыбна,52.17330,24.46426
1208,Гродненская,Шутавічы,54.4322,26.4355
1209,Витебская,Цешылава,55.0798,27.0236
1243,Гродненская,Шылавічы,53.1691,24.2433
1244,Гомельская,Кононовщина,51.94462,30.19998
1247,Гродненская,Літвінкі,53.46651,24.02905
1248,Витебская,Язна,55.4202,28.1595
1249,Брестская,Альшэва,52.47321,25.19683
1250,Брестская,Бармуты,52.46226,24.81083
1251,Брестская,Вайцяшын,52.5092,25.1691
1252,Брестская,Дзягелец,52.4583,24.9707
1253,Брестская,Здзітава,52.4767,25.0011
1254,Брестская,Мар'янова,52.45959,24.93743
1255,Брестская,Мастыкі,52.3794,25.1633
1256,Брестская,Мормажава,52.58070,24.99061
1257,Брестская,Панасавічы,52.61271,24.72976
1258,Брестская,Равяцічы,52.4385,24.8433
1259,Брестская,Савіно,52.4991,25.0647
1260,Брестская,Стрыгінь,52.4942,25.0384
1261,Брестская,Сялец,52.5868,24.8659
1262,Брестская,Ярцавічы,52.4829,25.1590
1263,Брестская,Заверша,52.2831,25.3675
1264,Брестская,Закляценне,52.3013,25.2918
1265,Брестская,Сукачы,52.26394,24.87261
1266,Брестская,Гошчава,52.6903,25.2133
1267,Брестская,Стайкі,52.7062,25.2898
1268,Гомельская,Шарпілаўка,52.1179,30.9270
1269,Витебская,Галубічы,55.1117,27.9663
1274,Гродненская,Каралін,53.0782,24.8873
1275,Брестская,Падгорная,52.9866,25.5755
1276,Брестская,Коўбавічы,52.94395,25.60671
1277,Брестская,Плехаўшчына,52.5638,24.8201
1278,Витебская,Данькі,55.76967,27.13597
1279,Витебская,Адворня,55.24376,28.79167
1280,Витебская,Акуліна,55.2284,28.9008
1281,Витебская,Маставуха,54.967578,28.026422
1282,Витебская,Мядзьвёдаўка,54.88327,28.46486
1283,Витебская,Воўсішча,54.73884,29.59916
1284,Витебская,Мелихово,54.94895,29.79089
1285,Гомельская,Переростъ,52.30317,31.47183
1286,Гомельская,Людзвін,51.85840,29.94087
1287,Гродненская,Усялюб,53.7209,25.7985
1289,Гродненская,Кастровічы,53.2041,25.1437
1291,Гродненская,Навагрудак,53.5953,25.8231
1292,Гродненская,Studerowszczyzna,53.3179,25.6974
1294,Гродненская,Кусенцы,52.96062,24.37806
1296,Гродненская,Мсцібава,53.1133,24.2562
1297,Гродненская,Ганевічы,52.9385,24.3646
1298,Гродненская,Зэльва,53.1530,24.8097
1299,Гродненская,Сабалькі,52.86282,24.52874
1300,Брестская,Лыскава,52.8540,24.6144
1301,Минская,Барысаў,54.2219,28.5076
1302,Минская,Навасёлкі,53.8481,29.0623
1304,Брестская,Бучча,52.7541,26.8431
1305,Минская,Мінск,53.8963,27.5462
1309,Могилевская,Гіжэнка,53.570833,31.053333
1310,Могилевская,Ржаўка,53.3941,30.7985
1311,Могилевская,Істопкі,53.31923,30.25169
1312,Гомельская,Бяляеўка,52.9620,31.0167
1313,Витебская,Мосар,55.2280,27.4640
1315,Могилевская,Журавель,53.5172,31.2965
1316,Могилевская,Заходы,54.0403,30.4530
1317,Могилевская,Шароеўка,53.6339,31.2982
1318,Минская,Валожын,54.0848,26.5294
1319,Гродненская,Мураваная Ашмянка,54.457778,25.778611
