"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
36904,237,"UKR","Ukraine",6,"Donets'k",122,"Horlivs'ka","","Gorlivka","Mis'ka Rada","Mis'ka Rada"
36905,237,"UKR","Ukraine",6,"Donets'k",123,"Iasynuvats'ka","","","Misto","City"
36906,237,"UKR","Ukraine",6,"Donets'k",124,"Iasynuvats'kyi","","Yasynuvatskyi","Raion","District"
36907,237,"UKR","Ukraine",6,"Donets'k",125,"Ienakiievs'ka","","Yenakiyeve","Mis'ka Rada","Mis'ka Rada"
36908,237,"UKR","Ukraine",6,"Donets'k",126,"Khartsyz'ka","","Khartsyzk","Mis'ka Rada","Mis'ka Rada"
36909,237,"UKR","Ukraine",6,"Donets'k",127,"Kirovs'ka","","Kirovske","Misto","City"
36910,237,"UKR","Ukraine",6,"Donets'k",128,"Kostiantynivs'ka","","Kostyantynivka","Misto","City"
36911,237,"UKR","Ukraine",6,"Donets'k",129,"Kostiantynivs'kyi","","Kostyantynivskyi","Raion","District"
36912,237,"UKR","Ukraine",6,"Donets'k",130,"Kramators'ka","","Kramatorsk","Mis'ka Rada","Mis'ka Rada"
36913,237,"UKR","Ukraine",6,"Donets'k",131,"Krasnoarmiis'ka","","","Mis'ka Rada","Mis'ka Rada"
36914,237,"UKR","Ukraine",6,"Donets'k",132,"Krasnoarmiis'kyi","","Krasnoarmeyskyi-D","Raion","District"
36915,237,"UKR","Ukraine",6,"Donets'k",133,"Krasnolymans'ka","","","Mis'ka Rada","Mis'ka Rada"
36916,237,"UKR","Ukraine",6,"Donets'k",134,"Krasnolymans'kyi","","Krasnolymanskyi","Raion","District"
36917,237,"UKR","Ukraine",6,"Donets'k",135,"Maki‹vs'ka","","Makiivka","Mis'ka Rada","Mis'ka Rada"
36918,237,"UKR","Ukraine",6,"Donets'k",136,"Mar‹ns'kyi","","Mariinskyi","Raion","District"
36919,237,"UKR","Ukraine",6,"Donets'k",137,"Mariupol's'ka","","Mariupol","Mis'ka Rada","Mis'ka Rada"
36920,237,"UKR","Ukraine",6,"Donets'k",138,"n.a. ( 181)","","","",""
36921,237,"UKR","Ukraine",6,"Donets'k",139,"n.a. ( 319)","",""," ",""
36922,237,"UKR","Ukraine",6,"Donets'k",140,"n.a. ( 384)","",""," ",""
36923,237,"UKR","Ukraine",6,"Donets'k",141,"n.a. ( 394)","",""," ",""
36924,237,"UKR","Ukraine",6,"Donets'k",142,"n.a. ( 488)","",""," ",""
36925,237,"UKR","Ukraine",6,"Donets'k",143,"n.a. ( 493)","",""," ",""
36926,237,"UKR","Ukraine",6,"Donets'k",144,"n.a. ( 511)","",""," ",""
36927,237,"UKR","Ukraine",6,"Donets'k",145,"Novoazovs'kyi","","Novoazovskyi","Raion","District"
36928,237,"UKR","Ukraine",6,"Donets'k",146,"Novohrodivs'ka","","Novohrodivka","Misto","City"
36929,237,"UKR","Ukraine",6,"Donets'k",147,"Oleksandrivs'kyi","","Oleksandrivskyi","Raion","District"
36930,237,"UKR","Ukraine",6,"Donets'k",148,"Pershotravnevyi","","","Raion","District"
36931,237,"UKR","Ukraine",6,"Donets'k",149,"Selydovs'ka","","Selydove","Mis'ka Rada","Mis'ka Rada"
36932,237,"UKR","Ukraine",6,"Donets'k",150,"Shakhtars'ka","","Shahtarsk-Don","Mis'ka Rada","Mis'ka Rada"
36933,237,"UKR","Ukraine",6,"Donets'k",151,"Shakhtars'kyi","","Shahtarskyi-Don","Raion","District"
36934,237,"UKR","Ukraine",6,"Donets'k",152,"Slovians'ka","","Sloviansk","Mis'ka Rada","Mis'ka Rada"
36935,237,"UKR","Ukraine",6,"Donets'k",153,"Slovians'kyi","","Slovyanskyi-Don","Raion","District"
36936,237,"UKR","Ukraine",6,"Donets'k",154,"Snizhnens'ka","","Snezhnoye","Mis'ka Rada","Mis'ka Rada"
36937,237,"UKR","Ukraine",6,"Donets'k",155,"Starobeshivs'kyi","","Starobeshevskyi","Raion","District"
36938,237,"UKR","Ukraine",6,"Donets'k",156,"Tel'manivs'kyi","","Telmanivskyi-Don","Raion","District"
36939,237,"UKR","Ukraine",6,"Donets'k",157,"Torez'ka","","Torez-Don","Mis'ka Rada","Mis'ka Rada"
36940,237,"UKR","Ukraine",6,"Donets'k",158,"Velykonovosilkivs'kyi","","Velykonovoselivsk","Raion","District"
36941,237,"UKR","Ukraine",6,"Donets'k",159,"Volnovas'kyi","","Volnovaskyi","Raion","District"
36942,237,"UKR","Ukraine",6,"Donets'k",160,"Volodars'kyi","","Volodarskyi","Raion","District"
36943,237,"UKR","Ukraine",6,"Donets'k",161,"Vuhledars'ka","","Vuhledar","Misto","City"
36944,237,"UKR","Ukraine",6,"Donets'k",162,"Zhdanivs'ka","","Zhdanivka","Mis'ka Rada","Mis'ka Rada"
36945,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",163,"Bohorodchans'kyi","","Bogorodchanskyi","Raion","District"
36946,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",164,"Dolyns'kyi","","Dolynskyi-Ifr","Raion","District"
36947,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",165,"Halyts'kyi","","Galytskyi","Raion","District"
36948,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",166,"Horodenkivs'kyi","","Gorodenkivskyi","Raion","District"
36949,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",167,"Iaremchans'ka","","Yaremcha","Mis'ka Rada","Mis'ka Rada"
36950,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",168,"Ivano-Frankivs'ka","","","Mis'ka Rada","Mis'ka Rada"
36951,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",169,"Kalus'kyi","","Kaluskyi-Raion","Raion","District"
36952,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",170,"Kolomyis'kyi","","Kolomyyskyi","Raion","District"
36953,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",171,"Kosivs'kyi","","Kosivskyi","Raion","District"
36954,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",172,"Nadvirnians'kyi","","Nadvirnyanskyi","Raion","District"
36955,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",173,"Rohatyns'kyi","","Rogatynskyi","Raion","District"
36956,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",174,"Rozhniativs'kyi","","Rozhnyativskyi","Raion","District"
36957,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",175,"Sniatyns'kyi","","Snyatynskyi","Raion","District"
36958,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",176,"Tlumats'kyi","","Tlumatskyi","Raion","District"
36959,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",177,"Tysmenyts'kyi","","Tysmenetskyi","Raion","District"
36960,237,"UKR","Ukraine",7,"Ivano-Frankivs'k",178,"Verkhovyns'kyi","","Verhovynskyi","Raion","District"
36961,237,"UKR","Ukraine",8,"Kharkiv",179,"Balakliis'kyi","","Balakliya","Raion","District"
36962,237,"UKR","Ukraine",8,"Kharkiv",180,"Barvinkivs'kyi","","Barvenkove","Raion","District"
36963,237,"UKR","Ukraine",8,"Kharkiv",181,"Blyzniukivs'kyi","","Blyznyuky","Raion","District"
36964,237,"UKR","Ukraine",8,"Kharkiv",182,"Bohodukhivs'kyi","","Bohodukhiv","Raion","District"
36965,237,"UKR","Ukraine",8,"Kharkiv",183,"Borivs'kyi","","","Raion","Raion"
36966,237,"UKR","Ukraine",8,"Kharkiv",184,"Chuhu‹vs'ka","","","Mis'ka Rada","Mis'ka Rada"
36967,237,"UKR","Ukraine",8,"Kharkiv",185,"Chuhu‹vs'kyi","","Chihuyiv","Raion","District"
36968,237,"UKR","Ukraine",8,"Kharkiv",186,"Derhachivs'kyi","","Derhachi","Raion","District"
36969,237,"UKR","Ukraine",8,"Kharkiv",187,"Dvorichans'kyi","","Dvuricha","Raion","District"
36970,237,"UKR","Ukraine",8,"Kharkiv",188,"Iziums'ka","","","Misto","City"
36971,237,"UKR","Ukraine",8,"Kharkiv",189,"Iziums'kyi","","Izyum","Raion","District"
36972,237,"UKR","Ukraine",8,"Kharkiv",190,"Kehychivs'kyi","","Kehichivka","Raion","District"
36973,237,"UKR","Ukraine",8,"Kharkiv",191,"Kharkivs'ka","","","Mis'ka Rada","Mis'ka Rada"
36974,237,"UKR","Ukraine",8,"Kharkiv",192,"Kharkivs'kyi","","Kharkivsky","Raion","District"
36975,237,"UKR","Ukraine",8,"Kharkiv",193,"Krasnohrads'kyi","","Kkasnohrad","Raion","District"
36976,237,"UKR","Ukraine",8,"Kharkiv",194,"Krasnokuts'kyi","","Krasnokutsk","Raion","District"
36977,237,"UKR","Ukraine",8,"Kharkiv",195,"Kupians'ka","","","Mis'ka Rada","Mis'ka Rada"
36978,237,"UKR","Ukraine",8,"Kharkiv",196,"Kupians'kyi","","Kup'yansk","Raion","District"
36979,237,"UKR","Ukraine",8,"Kharkiv",197,"Lozivs'ka","","","Mis'ka Rada","Mis'ka Rada"
36980,237,"UKR","Ukraine",8,"Kharkiv",198,"Lozivs'kyi","","Lozova","Raion","District"
36981,237,"UKR","Ukraine",8,"Kharkiv",199,"n.a. ( 180)","",""," ",""
36982,237,"UKR","Ukraine",8,"Kharkiv",200,"Novovodolaz'kyi","","Nova Vodolaha","Raion","District"
36983,237,"UKR","Ukraine",8,"Kharkiv",201,"Pecheniz'kyi","","Pechenizkyi","Raion","District"
36984,237,"UKR","Ukraine",8,"Kharkiv",202,"Pervomais'kyi","","Pervomaisk","Raion","District"
36985,237,"UKR","Ukraine",8,"Kharkiv",203,"Sakhnovshchyns'kyi","","Sakhnovschyna","Raion","District"
36986,237,"UKR","Ukraine",8,"Kharkiv",204,"Shevchenkivs'kyi","","Shevchenkove","Raion","District"
36987,237,"UKR","Ukraine",8,"Kharkiv",205,"Valkivs'kyi","","Valky","Raion","District"
36988,237,"UKR","Ukraine",8,"Kharkiv",206,"Velykoburluts'kyi","","Velykyburluk","Raion","District"
